shop,地址,place ID,urls
Cama_台中學府店(亮點),臺中市南區學府路210號,ChIJc0d-swU9aTQRt-Q7Y7rqrPA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E4%B8%AD%E5%AD%B8%E5%BA%9C%E5%BA%97/@24.1301657,120.6710711,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d73327e477f:0x45444ae4a613a49!8m2!3d24.1301657!4d120.673646!16s%2Fg%2F11rcsp50xc?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_大甲站前店,臺中市大甲區中山路一段959-1號,ChIJSTnjwv0RaTQRzfRivf1QVSM,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%A4%A7%E7%94%B2%E7%AB%99%E5%89%8D%E5%BA%97/@24.3448501,120.6081849,15z/data=!3m1!4b1!4m6!3m5!1s0x346911fb57ee0add:0x3fd554e8840f4a4f!8m2!3d24.3448512!4d120.626639!16s%2Fg%2F11tny4fl_0?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台中民權店,臺中市西區民權路77號,ChIJV1xWLRI9aTQRjCwRch61lxA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E4%B8%AD%E6%B0%91%E6%AC%8A%E5%BA%97/@24.1373235,120.6778231,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d13cd50aacf:0x547ce3631092d15b!8m2!3d24.1373235!4d120.680398!16s%2Fg%2F11b6211621?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台中中科店,臺中市西屯區福康路136號,ChIJVZjhSv0VaTQRCrGAS1uPYQ8,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E4%B8%AD%E4%B8%AD%E7%A7%91%E5%BA%97/@24.1875198,120.6161735,17z/data=!3m1!4b1!4m6!3m5!1s0x346915e2b5ac6363:0xffca6cd4f96a5b13!8m2!3d24.1875198!4d120.6187484!16s%2Fg%2F1hm2hnwqc?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_桃園大有店,桃園市桃園區大有路465號,ChIJ4RFDdU8eaDQRp-ajH7Tu9rk,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%A1%83%E5%9C%92%E5%A4%A7%E6%9C%89%E5%BA%97/@25.0123565,121.3000393,15z/data=!3m1!4b1!4m6!3m5!1s0x34681f3a1b104c21:0xf14ad76e037356d1!8m2!3d25.0123576!4d121.3184934!16s%2Fg%2F11p4dq70bk?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_桃園大園店,桃園市大園區中正西路27號,ChIJq5cvkZggaDQRar8jpD4JfA0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%A1%83%E5%9C%92%E5%A4%A7%E5%9C%92%E5%BA%97(%E5%92%96%E5%95%A1.%E8%BC%95%E9%A3%9F)/@25.0633108,121.1923318,17z/data=!3m1!4b1!4m6!3m5!1s0x3468216e5db525d7:0x633f284df7644157!8m2!3d25.0633108!4d121.1949067!16s%2Fg%2F11rvlqtmvj?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_桃園聖保祿店,桃園市桃園區建新街139號,ChIJ12Cc-eAeaDQRNbM4auqY2eU,"https://www.google.com/maps/place/cama+cafe%E2%80%99+%E5%92%96%E7%A2%BC%E5%92%96%E5%95%A1+%E6%A1%83%E5%9C%92%E8%81%96%E4%BF%9D%E7%A5%BF%E5%BA%97(%E7%8F%BE%E7%83%98%E5%92%96%E5%95%A1%E3%80%81%E8%8C%B6%E9%A3%B2%E3%80%81%E5%86%A0%E8%BB%8D%E9%BA%B5%E5%8C%85%EF%BC%89/@24.9817414,121.3090194,17z/data=!3m1!4b1!4m6!3m5!1s0x34681f89846259eb:0x9da2cf533d7aac98!8m2!3d24.9817414!4d121.3115943!16s%2Fg%2F11jt1zm2sv?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_中壢中央店,桃園市中壢區中央西路一段119號,ChIJdaUQeUoiaDQRf34wEwPrbGk,"https://www.google.com/maps/place/cama+caf%C3%A9+%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%A4%AE%E5%BA%97/@24.9579154,121.0759727,12z/data=!3m1!5s0x3468224a78e417eb:0x98524594898eb7da!4m10!1m2!2m1!1zY2FtYSBjYWZl4oCZIOS4reWjouS4reato-W6lyjnj77ng5jlkpbllaHjgIHojLbpo7LjgIHlhqDou43purXljIXvvIk!3m6!1s0x3468224a791e53af:0x4461e35e2969a166!8m2!3d24.9579154!4d121.2201683!15sCkRjYW1hIGNhZmXigJkg5Lit5aOi5Lit5q2j5bqXKOePvueDmOWSluWVoeOAgeiMtumjsuOAgeWGoOi7jem6teWMhe-8iSIDiAEBWkMiQWNhbWEgY2FmZSDkuK0g5aOiIOS4reatoyDlupcg54--IOeDmCDlkpbllaEg6Iy2IOmjsiDlhqDou40g6bq15YyFkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11by_fzny0?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_八德介壽店,桃園市八德區介壽路一段876號,ChIJIcZb19IYaDQR670UdE5P_1g,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%85%AB%E5%BE%B7%E4%BB%8B%E5%A3%BD%E5%BA%97/@24.96029,121.2810043,15z/data=!3m1!4b1!4m6!3m5!1s0x346819b10fcff46d:0x904d17157ffd5ea9!8m2!3d24.9602911!4d121.2994584!16s%2Fg%2F11tnxnxl7q?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_淡水新市店,新北市淡水區中山北路二段201號,ChIJ_XX5Qqq6QjQRyTvg9XVfBmA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%B7%A1%E6%B0%B4%E6%96%B0%E5%B8%82%E5%BA%97/@25.1854885,121.4414694,17z/data=!3m2!4b1!5s0x3442baaa424ed991:0xe99862e4e95ed061!4m6!3m5!1s0x3442baaa6796ebdd:0x4e704407eefea056!8m2!3d25.1854885!4d121.4440443!16s%2Fg%2F11bxg5qc56?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
